,time,data
0,1162347.4090254002,"[-0.017513129860162735, -0.013401069678366184, 0.04322085157036781, -0.024991890415549278, -0.01823543943464756, -0.012784830294549465, 0.036590058356523514, -0.024275150150060654, -0.012164619751274586, -0.02253912016749382, -0.00037714000791311264, -0.019232140854001045, -0.010646900162100792, -0.019851019605994225, 0.046774428337812424, 0.0021765499841421843, -0.008966850116848946, 0.03165968134999275, -0.020272620022296906, -0.029320809990167618, -0.01382709015160799, -0.011011590249836445, -0.017550580203533173, -0.028865259140729904, -0.029679520055651665, -0.02564002014696598, 0.06487396359443665, -0.015288310125470161, -0.010363039560616016, -0.027652019634842873, 0.07575736194849014, 0.027972739189863205, -0.005387474782764912, -0.00805757474154234, -0.008123574778437614, -0.00513057503849268, -0.00651967478916049, -0.006577650085091591, -0.0064733498729765415, -0.01047742459923029, -0.004577849991619587, -0.007621374912559986, -0.008141149766743183, -0.0051218001171946526, -0.006757224909961224, -0.006532200146466494, -0.006606049835681915, -0.010297300294041634, -0.003427299903705716, -0.007979724556207657, -0.007974125444889069, -0.005474274978041649, -0.006472299806773663, -0.006560225039720535, -0.006400850135833025, -0.010322624817490578, 0.0, 2334116.0]"
1,1162347.4109785252,"[-0.011490809731185436, -0.012956730090081692, 0.04523180052638054, -0.024897759780287743, -0.018378030508756638, -0.011334840208292007, 0.03817981109023094, -0.024000519886612892, -0.012335159815847874, -0.022585289552807808, 0.0027946000918745995, -0.018830720335245132, -0.010564319789409637, -0.019568679854273796, 0.04823596030473709, 0.0056308298371732235, -0.00796126015484333, 0.03313276171684265, -0.019882669672369957, -0.029447359964251518, -0.013840990141034126, -0.010499459691345692, -0.016249820590019226, -0.02895466983318329, -0.028787529096007347, -0.02492336928844452, 0.06651940941810608, -0.01536932960152626, -0.008123990148305893, -0.027494989335536957, 0.07712598890066147, 0.02982350066304207, -0.005359250120818615, -0.008038975298404694, -0.00810722541064024, -0.005139099899679422, -0.006507874932140112, -0.0065645999275147915, -0.006463449914008379, -0.01046022493392229, -0.004555124789476395, -0.007609100081026554, -0.008129050023853779, -0.005113924853503704, -0.0067453752271831036, -0.00652082497254014, -0.006594125181436539, -0.010281374678015709, -0.003441350068897009, -0.007965600118041039, -0.007961800321936607, -0.005456024780869484, -0.00645892508327961, -0.006547274999320507, -0.006388649810105562, -0.010304025374352932, 0.0, 2334117.0]"
2,1162347.4129316502,"[-0.00895817019045353, -0.013474410399794579, 0.045460738241672516, -0.025306720286607742, -0.018728790804743767, -0.01188024040311575, 0.03830137848854065, -0.024487610906362534, -0.012684470042586327, -0.02301991917192936, 0.0030357600189745426, -0.019427169114351273, -0.01113665010780096, -0.020159410312771797, 0.04828846827149391, 0.0061353398486971855, -0.008635830134153366, 0.032976310700178146, -0.020560750737786293, -0.02981656976044178, -0.014270259998738766, -0.011164549738168716, -0.016895810142159462, -0.02931739017367363, -0.029176589101552963, -0.025442000478506088, 0.06673037260770798, -0.01570856012403965, -0.007897789590060711, -0.02782233990728855, 0.07728923112154007, 0.02993020974099636, -0.005348824895918369, -0.008031625300645828, -0.008098900318145752, -0.005140275228768587, -0.006502424832433462, -0.006561874877661467, -0.006461049895733595, -0.01045405026525259, -0.0045548249036073685, -0.007605074904859066, -0.008125974796712399, -0.005108024924993515, -0.0067416001111269, -0.00651889992877841, -0.006590275093913078, -0.010273950174450874, -0.00341670005582273, -0.007962900213897228, -0.007958974689245224, -0.005457275081425905, -0.00645540002733469, -0.006544100120663643, -0.006386524997651577, -0.010293399915099144, 0.0, 2334118.0]"
3,1162347.4148847752,"[-0.014933260157704353, -0.014541029930114746, 0.04371244087815285, -0.025980280712246895, -0.019117159768939018, -0.014023239724338055, 0.036794260144233704, -0.025388570502400398, -0.013032929971814156, -0.02358073927462101, -1.9009999959962443e-05, -0.02052566036581993, -0.011944640427827835, -0.021147189661860466, 0.0468335784971714, 0.0033024600706994534, -0.010385270230472088, 0.031130140647292137, -0.021815240383148193, -0.03024682030081749, -0.014852509833872318, -0.012499620206654072, -0.019125090911984444, -0.029768789187073708, -0.030664930120110512, -0.026839010417461395, 0.06534969061613083, -0.01612837053835392, -0.009910260327160358, -0.02844177931547165, 0.07610075920820236, 0.0281323604285717, -0.005343350116163492, -0.00802767463028431, -0.008095350116491318, -0.0051287999376654625, -0.006500849965959787, -0.006560349836945534, -0.006459350232034922, -0.010448049753904343, -0.004554649814963341, -0.007602950092405081, -0.008124399930238724, -0.005102749913930893, -0.006741899996995926, -0.006516775116324425, -0.0065934001468122005, -0.010270174592733383, -0.003397050080820918, -0.007960274815559387, -0.007955774664878845, -0.005456075072288513, -0.00645870016887784, -0.006543300114572048, -0.006388400215655565, -0.010283400304615498, 0.0, 2334119.0]"
4,1162347.4168379002,"[-0.01976371929049492, -0.015287759713828564, 0.040915101766586304, -0.026433760300278664, -0.019303809851408005, -0.01560593955218792, 0.03448234125971794, -0.025991300120949745, -0.013173109851777554, -0.02390851080417633, -0.004526639822870493, -0.02123638056218624, -0.01240640040487051, -0.021750610321760178, 0.044691119343042374, -0.0013161000097170472, -0.01151387020945549, 0.028569789603352547, -0.0225752592086792, -0.030469350516796112, -0.015172969549894333, -0.013335670344531536, -0.020825890824198723, -0.03000134974718094, -0.03188351169228554, -0.02787148952484131, 0.06313417851924896, -0.01636389084160328, -0.013007090426981449, -0.02887641079723835, 0.07422047108411789, 0.02527919039130211, -0.005360350012779236, -0.008042925037443638, -0.008108524605631828, -0.005132125224918127, -0.006511500105261803, -0.006571175064891577, -0.0064682248048484325, -0.010460374876856804, -0.004558649845421314, -0.00761584984138608, -0.00813167542219162, -0.005098674912005663, -0.006751549895852804, -0.006526724901050329, -0.006604675203561783, -0.010285625234246254, -0.00338787492364645, -0.007969499565660954, -0.007966400124132633, -0.005460674874484539, -0.006470125168561935, -0.006552674807608128, -0.006399274803698063, -0.010294299572706223, 0.0, 2334120.0]"
5,1162347.4187910252,"[-0.021550970152020454, -0.015442970208823681, 0.03862106055021286, -0.02645258978009224, -0.019178610295057297, -0.016037460416555405, 0.032662369310855865, -0.026064949110150337, -0.013028919696807861, -0.023856859654188156, -0.007387090008705854, -0.021338770166039467, -0.012377490289509296, -0.02179373987019062, 0.04300606995820999, -0.005187689792364836, -0.011769319884479046, 0.026729239150881767, -0.022639470174908638, -0.03036958910524845, -0.0151071697473526, -0.01345716044306755, -0.02127848006784916, -0.02991366945207119, -0.032233089208602905, -0.02811908908188343, 0.06127861142158508, -0.01629127934575081, -0.015506469644606113, -0.028927389532327652, 0.07268250733613968, 0.02293713018298149, -0.00537519995123148, -0.008055450394749641, -0.008121750317513943, -0.005131024867296219, -0.006521100178360939, -0.006577825173735619, -0.006474600173532963, -0.010468925349414349, -0.004562174901366234, -0.007625900208950043, -0.008141675032675266, -0.005104974843561649, -0.006757825147360563, -0.006533524952828884, -0.0066108498722314835, -0.010296549648046494, -0.003407025011256337, -0.007976549677550793, -0.007976200431585312, -0.005459425039589405, -0.0064731501042842865, -0.006557149812579155, -0.00640220008790493, -0.010307025164365768, 0.0, 2334121.0]"
6,1162347.4207441502,"[-0.021975120529532433, -0.01514745969325304, 0.037945520132780075, -0.026136459782719612, -0.01884285919368267, -0.015783900395035744, 0.032229650765657425, -0.025748249143362045, -0.012699609622359276, -0.023519759997725487, -0.007836139760911465, -0.02102247066795826, -0.012011289596557617, -0.02144611068069935, 0.0425451286137104, -0.006464129779487848, -0.011471539735794067, 0.026539459824562073, -0.022254349663853645, -0.03003839962184429, -0.014774120412766933, -0.013119949959218502, -0.020976310595870018, -0.02959717996418476, -0.03200361132621765, -0.027842100709676743, 0.0606786385178566, -0.01599797047674656, -0.0161695908755064, -0.02868133969604969, 0.07219499349594116, 0.022369759157299995, -0.0053853499703109264, -0.008069025352597237, -0.008131849579513073, -0.005132949911057949, -0.0065294248051941395, -0.006587250158190727, -0.0064813499338924885, -0.010481700301170349, -0.00456792488694191, -0.007634399924427271, -0.008153474889695644, -0.005108775105327368, -0.00676390016451478, -0.006542399991303682, -0.006622274871915579, -0.01031037513166666, -0.0034222248941659927, -0.007990225218236446, -0.00798415020108223, -0.005453899968415499, -0.006479000207036734, -0.006569575052708387, -0.006409349851310253, -0.010323800146579742, 0.0, 2334122.0]"
7,1162347.4226972752,"[-0.021146299317479134, -0.014552690088748932, 0.039193909615278244, -0.025641730055212975, -0.01847073994576931, -0.015036189928650856, 0.03333432972431183, -0.025199389085173607, -0.012357239611446857, -0.023053670302033424, -0.00626581022515893, -0.020439479500055313, -0.011470279656350613, -0.020854350179433823, 0.043566130101680756, -0.004476310219615698, -0.01075603999197483, 0.02805517055094242, -0.021566590294241905, -0.02964708022773266, -0.014335409738123417, -0.012443119660019875, -0.02006682939827442, -0.02922002039849758, -0.0313742496073246, -0.027202580124139786, 0.061654459685087204, -0.015638139098882675, -0.014729790389537811, -0.028278620913624763, 0.0729977935552597, 0.023813650012016296, -0.005393799860030413, -0.008070425130426884, -0.008129400201141834, -0.005142524838447571, -0.006528350058943033, -0.006583500187844038, -0.006478799972683191, -0.01048274990171194, -0.004580675158649683, -0.007630799897015095, -0.008152250200510025, -0.005107575096189976, -0.006762349978089333, -0.00653795013204217, -0.0066229249350726604, -0.010308925062417984, -0.003443750087171793, -0.007988524623215199, -0.007982525043189526, -0.005455125123262405, -0.00647654989734292, -0.006569224875420332, -0.006406375207006931, -0.010324024595320225, 0.0, 2334123.0]"
8,1162347.4246504002,"[-0.019172759726643562, -0.013780109584331512, 0.041780609637498856, -0.02514480985701084, -0.01823551021516323, -0.013725790195167065, 0.03542285040020943, -0.024564139544963837, -0.012164440006017685, -0.022651299834251404, -0.002660709898918867, -0.019679829478263855, -0.01090260036289692, -0.02013557031750679, 0.04558416083455086, -0.00026465998962521553, -0.009629329666495323, 0.030431360006332397, -0.020682239904999733, -0.029376350343227386, -0.013959500007331371, -0.011527559719979763, -0.018494879826903343, -0.028943659737706184, -0.030359240248799324, -0.026252470910549164, 0.06371521204710007, -0.015358120203018188, -0.011873019859194756, -0.02783801034092903, 0.0747208371758461, 0.026466460898518562, -0.005392924882471561, -0.008062650449573994, -0.008126574568450451, -0.005143925081938505, -0.006525524891912937, -0.006580099929124117, -0.006475725211203098, -0.010483674705028534, -0.0045865001156926155, -0.007626549806445837, -0.008149899542331696, -0.005117325112223625, -0.006760674994438887, -0.006534474901854992, -0.0066182250156998634, -0.010305925272405148, -0.0034441750030964613, -0.007983599789440632, -0.007978425361216068, -0.005464024841785431, -0.006474525202065706, -0.006561900023370981, -0.006402375176548958, -0.010322400368750095, 0.0, 2334124.0]"
9,1162347.4266035252,"[-0.014928460121154785, -0.013097389601171017, 0.04427675902843475, -0.024873729795217514, -0.018246909603476524, -0.012059769593179226, 0.03739412873983383, -0.024090399965643883, -0.012219569645822048, -0.02249881997704506, 0.0012206099927425385, -0.018997270613908768, -0.010566500015556812, -0.019577069208025932, 0.04749258980154991, 0.00393508980050683, -0.008320779539644718, 0.032419588416814804, -0.019956130534410477, -0.029369259253144264, -0.013811780139803886, -0.010740309953689575, -0.016807930544018745, -0.02889944054186344, -0.029224999248981476, -0.025276200845837593, 0.06573458015918732, -0.01529690995812416, -0.009081389755010605, -0.027518270537257195, 0.07641679793596268, 0.02889041043817997, -0.005378200206905603, -0.008045624941587448, -0.008111675269901752, -0.005145649891346693, -0.00651267496868968, -0.0065695252269506454, -0.006466149818152189, -0.010468149557709694, -0.004573099780827761, -0.007613725028932095, -0.008134525269269943, -0.0051171001978218555, -0.006746875122189522, -0.006523599848151207, -0.006603950168937445, -0.010286974720656872, -0.003445100039243698, -0.007972124963998795, -0.007966299541294575, -0.005465149879455566, -0.006464675068855286, -0.006549499928951263, -0.006391400005668402, -0.010306799784302711, 0.0, 2334125.0]"
