,time,data
0,1162054.6922284001,"[-0.019368140026926994, -0.013192090205848217, 0.037006501108407974, -0.024243280291557312, -0.017236560583114624, -0.013661880046129227, 0.03133593127131462, -0.02390013076364994, -0.01122382003813982, -0.02176216058433056, -0.005008089821785688, -0.019062139093875885, -0.010130739770829678, -0.019481349736452103, 0.04200483113527298, -0.011792490258812904, -0.009269270114600658, 0.025942230597138405, -0.020220499485731125, -0.02829420007765293, -0.013099519535899162, -0.01119054015725851, -0.018687019124627113, -0.027934430167078972, -0.02994709089398384, -0.025937659665942192, 0.059124451130628586, -0.014420559629797935, -0.014644050039350986, -0.026950310915708542, 0.06953459233045578, 0.02091098017990589, -0.005379199981689453, -0.008060550317168236, -0.008119050413370132, -0.005126324947923422, -0.006523699965327978, -0.006578450091183186, -0.00647445023059845, -0.01047547534108162, -0.0045668501406908035, -0.0076227751560509205, -0.008144049905240536, -0.005101525224745274, -0.006754150148481131, -0.006532474886626005, -0.006607674993574619, -0.010303149931132793, -0.0034232749603688717, -0.007976274937391281, -0.007974900305271149, -0.005466150119900703, -0.0064696501940488815, -0.006561600137501955, -0.006405024789273739, -0.010316800326108932, 0.0, 2184245.0]"
1,1162054.6941815251,"[-0.018034089356660843, -0.01271761953830719, 0.03873208910226822, -0.0239313505589962, -0.017110619693994522, -0.012817109934985638, 0.03278303146362305, -0.02351818047463894, -0.011140420101583004, -0.021554740145802498, -0.0025653101038187742, -0.018624819815158844, -0.009802640415728092, -0.01908976025879383, 0.04333942010998726, -0.008969959802925587, -0.008508799597620964, 0.027566879987716675, -0.019710730761289597, -0.028149470686912537, -0.012881659902632236, -0.010666290298104286, -0.01771984063088894, -0.027774659916758537, -0.029308080673217773, -0.025393489748239517, 0.060468290001153946, -0.014288369566202164, -0.012730959802865982, -0.02667362056672573, 0.07066089659929276, 0.022732790559530258, -0.005370699800550938, -0.008051799610257149, -0.008112524636089802, -0.005130975041538477, -0.006516925059258938, -0.006566375028342009, -0.0064680250361561775, -0.010466549545526505, -0.004566775169223547, -0.007612749934196472, -0.0081344498321414, -0.005097774788737297, -0.006746024824678898, -0.006524024996906519, -0.0065970998257398605, -0.01029639970511198, -0.003434699960052967, -0.007970849983394146, -0.007967124693095684, -0.005450025200843811, -0.006464675068855286, -0.006552725099027157, -0.006396824959665537, -0.010306225158274174, 0.0, 2184246.0]"
2,1162054.6961346501,"[-0.016430310904979706, -0.012461099773645401, 0.04017772153019905, -0.02382636070251465, -0.017166709527373314, -0.01209620013833046, 0.033960480242967606, -0.023341039195656776, -0.01123334001749754, -0.021564390510320663, -0.000441059994045645, -0.01843894086778164, -0.009743919596076012, -0.018977809697389603, 0.044368620961904526, -0.0066244699992239475, -0.00798633974045515, 0.028689419850707054, -0.019526170566678047, -0.02820006012916565, -0.012878390029072762, -0.01041916012763977, -0.01702916994690895, -0.027793020009994507, -0.028867259621620178, -0.02506767027080059, 0.06157087907195091, -0.014323839917778969, -0.011164399795234203, -0.02656926028430462, 0.07158351689577103, 0.02411595918238163, -0.005364549811929464, -0.008043425157666206, -0.008108674548566341, -0.005136425141245127, -0.0065107750706374645, -0.006564300041645765, -0.006463449914008379, -0.010461924597620964, -0.004555275198072195, -0.007611025124788284, -0.008126274682581425, -0.0050864750519394875, -0.006743224803358316, -0.0065206498838961124, -0.00659092515707016, -0.010292025282979012, -0.003427600022405386, -0.0079670250415802, -0.007959599606692791, -0.005446924827992916, -0.00645947502925992, -0.006548650097101927, -0.006391275208443403, -0.010300825349986553, 0.0, 2184247.0]"
3,1162054.6980877751,"[-0.01565960980951786, -0.012677839957177639, 0.04056797921657562, -0.02404871955513954, -0.017386259511113167, -0.012245969846844673, 0.03421650826931, -0.023545559495687485, -0.011452089995145798, -0.021806199103593826, -6.500000017695129e-05, -0.0186958909034729, -0.010051270015537739, -0.01927674002945423, 0.04456543177366257, -0.006000509951263666, -0.008292390033602715, 0.028799140825867653, -0.019881820306181908, -0.028433319181203842, -0.01312434021383524, -0.010741430334746838, -0.017350759357213974, -0.02800985984504223, -0.029058419167995453, -0.025306759402155876, 0.06186046078801155, -0.014525080099701881, -0.010755560360848904, -0.02674812078475952, 0.07180123031139374, 0.024350589141249657, -0.005354424938559532, -0.008033599704504013, -0.008099175058305264, -0.005136474967002869, -0.006501125171780586, -0.006560274865478277, -0.0064558000303804874, -0.010451224632561207, -0.004540699999779463, -0.007601675111800432, -0.008119150064885616, -0.00508707482367754, -0.006740475073456764, -0.006513900123536587, -0.006584899965673685, -0.010279124602675438, -0.003406025003641844, -0.007957925088703632, -0.007952825166285038, -0.005446149967610836, -0.006452174857258797, -0.00654357485473156, -0.006383699830621481, -0.01029022503644228, 0.0, 2184248.0]"
4,1162054.7000409001,"[-0.016681769862771034, -0.013238020241260529, 0.03960881009697914, -0.0244502704590559, -0.017640220001339912, -0.013231930322945118, 0.03337937965989113, -0.024009360000491142, -0.011679209768772125, -0.02214645966887474, -0.0018165300134569407, -0.019252700731158257, -0.010533150285482407, -0.01979159004986286, 0.04378902167081833, -0.007540650200098753, -0.009217790327966213, 0.02775700017809868, -0.020528040826320648, -0.028710970655083656, -0.01347613986581564, -0.01141376979649067, -0.01849726028740406, -0.02829338051378727, -0.029786530882120132, -0.025962000712752342, 0.06115156039595604, -0.014769040048122406, -0.011793079786002636, -0.027095390483736992, 0.07117556035518646, 0.023274889215826988, -0.0053454251028597355, -0.008034050464630127, -0.008097425103187561, -0.005133950151503086, -0.00650160014629364, -0.006562674883753061, -0.0064575751312077045, -0.010451025329530239, -0.0045329248532652855, -0.0076004499569535255, -0.008119375444948673, -0.005087899975478649, -0.00674407510086894, -0.006515800021588802, -0.006590025033801794, -0.010282149538397789, -0.0033795000053942204, -0.007957350462675095, -0.007952624931931496, -0.005442675203084946, -0.006453825160861015, -0.00654450012370944, -0.006387399975210428, -0.01029182504862547, 0.0, 2184249.0]"
5,1162054.7019940251,"[-0.018344689160585403, -0.01371884997934103, 0.03786544129252434, -0.024765780195593834, -0.017782039940357208, -0.01412282045930624, 0.03193622827529907, -0.02439047023653984, -0.011786120012402534, -0.02237004041671753, -0.004554919898509979, -0.019699379801750183, -0.010848600417375565, -0.020167579874396324, 0.04246364161372185, -0.0103598702698946, -0.009966909885406494, 0.02611513063311577, -0.02099801041185856, -0.028874540701508522, -0.013700660318136215, -0.01192639023065567, -0.019459709525108337, -0.028458580374717712, -0.03045199066400528, -0.02651068940758705, 0.05984153971076012, -0.014909280464053154, -0.01369502954185009, -0.027373019605875015, 0.07005949318408966, 0.02143678069114685, -0.005346850026398897, -0.008035699836909771, -0.008100125007331371, -0.005122724920511246, -0.006505175027996302, -0.006562475115060806, -0.006459849886596203, -0.01044975034892559, -0.004543549846857786, -0.007601525168865919, -0.008119650185108185, -0.005102800205349922, -0.006745224818587303, -0.006516249850392342, -0.006595524959266186, -0.010282925330102444, -0.003405699972063303, -0.007957800291478634, -0.007955174893140793, -0.005448475014418364, -0.006456600036472082, -0.006544000003486872, -0.0063911001197993755, -0.01029220037162304, 0.0, 2184250.0]"
6,1162054.7039471501,"[-0.019527630880475044, -0.013875870034098625, 0.036351509392261505, -0.024832770228385925, -0.017735149711370468, -0.014477989636361599, 0.030694959685206413, -0.024487819522619247, -0.011714399792253971, -0.022360090166330338, -0.006349809933453798, -0.019809970632195473, -0.010878629982471466, -0.020236069336533546, 0.04134412854909897, -0.012827740050852299, -0.010232919827103615, 0.024781299754977226, -0.021092290058732033, -0.028840940445661545, -0.013696350157260895, -0.012051220051944256, -0.019802629947662354, -0.028430530801415443, -0.03069196082651615, -0.026680659502744675, 0.05867287889122963, -0.014876989647746086, -0.01536124013364315, -0.02744033932685852, 0.06904418021440506, 0.01981961913406849, -0.005362350028008223, -0.008047900162637234, -0.008114375174045563, -0.005120850168168545, -0.006515624932944775, -0.006572999991476536, -0.0064710997976362705, -0.010462550446391106, -0.004549724981188774, -0.007612824905663729, -0.008131549693644047, -0.005094499792903662, -0.006751425098627806, -0.006525250151753426, -0.00660684984177351, -0.010292650200426579, -0.0034081749618053436, -0.007969100028276443, -0.00796817522495985, -0.005447349976748228, -0.00646647484973073, -0.006553174927830696, -0.006397549994289875, -0.010305799543857574, 0.0, 2184251.0]"
7,1162054.7059002751,"[-0.020017210394144058, -0.013731559738516808, 0.035697031766176224, -0.02466616965830326, -0.017533360049128532, -0.014377369545400143, 0.030224580317735672, -0.02431626059114933, -0.011508019641041756, -0.022151309996843338, -0.006728020031005144, -0.019625309854745865, -0.010663310065865517, -0.020030470564961433, 0.040932681411504745, -0.013820170424878597, -0.010082390159368515, 0.02441388927400112, -0.020859839394688606, -0.028633490204811096, -0.013495190069079399, -0.011844710446894169, -0.01962864026427269, -0.028245290741324425, -0.030566800385713577, -0.026526160538196564, 0.05814836174249649, -0.014702670276165009, -0.016029460355639458, -0.027312280610203743, 0.06859547644853592, 0.01917910948395729, -0.005376774817705154, -0.008054099977016449, -0.008118274621665478, -0.00513442512601614, -0.006520474795252085, -0.0065762498416006565, -0.006473700050264597, -0.010468649677932262, -0.0045470502227544785, -0.007618099916726351, -0.008137050084769726, -0.005081024952232838, -0.006750999949872494, -0.006526399869471788, -0.00660739978775382, -0.01029414962977171, -0.0033930500503629446, -0.007972399704158306, -0.007972625084221363, -0.005445525050163269, -0.006467325147241354, -0.006554849911481142, -0.006399550009518862, -0.01031159982085228, 0.0, 2184252.0]"
8,1162054.7078534001,"[-0.019665930420160294, -0.013354550115764141, 0.036314770579338074, -0.02434571087360382, -0.01727570965886116, -0.013905460014939308, 0.030780479311943054, -0.023965509608387947, -0.011270670220255852, -0.021841110661625862, -0.0058348397724330425, -0.019231809303164482, -0.010291609913110733, -0.019640879705548286, 0.04148536175489426, -0.012779089622199535, -0.009588399901986122, 0.025274379178881645, -0.02039490081369877, -0.02835455909371376, -0.013188119977712631, -0.011397230438888073, -0.019052209332585335, -0.027987340465188026, -0.03014536015689373, -0.026112360879778862, 0.05861207842826843, -0.01446777954697609, -0.015274549834430218, -0.027048340067267418, 0.06900657713413239, 0.019969969987869263, -0.005388475023210049, -0.008060025051236153, -0.008122474886476994, -0.005129124969244003, -0.006522149778902531, -0.006579175125807524, -0.00647500017657876, -0.010476425290107727, -0.004559599794447422, -0.00762322498485446, -0.008141225203871727, -0.0050936248153448105, -0.006755025126039982, -0.0065339249558746815, -0.006608624942600727, -0.01029947493225336, -0.003402824979275465, -0.007977374829351902, -0.00797632522881031, -0.0054529751650989056, -0.0064711500890553, -0.006559624802321196, -0.0064038499258458614, -0.01032012514770031, 0.0, 2184253.0]"
9,1162054.7098065251,"[-0.018562890589237213, -0.012875810265541077, 0.037897851318120956, -0.024008359760046005, -0.017087969928979874, -0.01313989982008934, 0.03209106996655464, -0.023558540269732475, -0.011120719835162163, -0.021569710224866867, -0.0037173801101744175, -0.018765969201922417, -0.009913129732012749, -0.01921211928129196, 0.042682111263275146, -0.010223990306258202, -0.00885470025241375, 0.02684352919459343, -0.01985293999314308, -0.02814234048128128, -0.012905829586088657, -0.010827840305864811, -0.01815224066376686, -0.027764320373535156, -0.029520299285650253, -0.025553539395332336, 0.05984088033437729, -0.014277590438723564, -0.013486400246620178, -0.026743600144982338, 0.07005926966667175, 0.02171636000275612, -0.005379674956202507, -0.00805320031940937, -0.008117049932479858, -0.005126799922436476, -0.006511924788355827, -0.006571600213646889, -0.006469424813985825, -0.010471650399267673, -0.004562024958431721, -0.007615049835294485, -0.008135300129652023, -0.005104225128889084, -0.006748274900019169, -0.006525650154799223, -0.006600474938750267, -0.010290450416505337, -0.0034117749892175198, -0.007971799932420254, -0.007968025282025337, -0.005453675054013729, -0.006464399863034487, -0.006553750019520521, -0.006399199832230806, -0.010313625447452068, 0.0, 2184254.0]"
